Reference, Quantity, Value, Footprint, Datasheet, P/N
C1 C2 C3 C6 ,4,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C0805C104M3RACTU"
C4 C5 ,2,"22pF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","C0603C220K3GACTU"
D1 ,1,"LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","150080VS75000"
J1 ,1,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J2 ,1,"Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J3 J4 ,2,"Conn_01x17_Male","Connector_PinHeader_2.54mm:PinHeader_1x17_P2.54mm_Vertical","~"
J5 ,1,"Conn_01x01_Male","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
JP1 ,1,"SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
R1 ,1,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","ERJ-6GEYJ103V"
R2 ,1,"1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","ERJ-6GEYJ102V"
SW1 ,1,"SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","~","B3U-1000P"
U1 ,1,"ATmega1284P-A","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf","ATMEGA1284P-AU"
Y1 ,1,"16MHz","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","~","7A-16.000MAAE-T"
